id,title,artist,chart_date,chords
19,Here's Some Love,Tanya Tucker,1976-10-09,vi|ii|IV|V|I|IV|V|I|IV|V|IV|V|I|IV|V|I|vi|IV|V|IV|I|V|I|IV|I|V|IV|I|vi|ii|IV|V|I|IV|V|I|IV|V|IV|V|I|IV|V|I|vi|IV|V|IV|I|V|I|IV|I|V|IV|vi|V|IV|I|V|I|IV|I|V|IV|I
29,The Joker,Steve Miller Band,1973-11-10,I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|I|IV|I|IV|V|IV|I|IV|I|IV|I|IV|V|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|I|IV|I|IV|V|IV|I|IV|I|IV|I|IV|V|IV|I|IV|I|IV|I|IV|V|IV|I|IV|I|IV|I|IV|V|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV
37,Foggy Mountain Breakdown,Flatt & Scruggs,1968-04-13,I|vi|I|vi|I|V|I|vi|I|vi|I|V|I|vi|I|vi|I|V|I|vi|I|vi|I|V|I|vi|I|vi|I|V|I|vi|I|vi|I|V|I|vi|I|vi|I|V|I|vi|I|vi|I|V|I|vi|I|vi|I|V|I|vi|I|vi|I|V|I|vi|I|vi|I|V|I|vi|I|vi|I|V|I|vi|I|vi|I|V|I
44,Some Like It Hot,The Power Station,1985-04-06,i|VI|VII|i|VI|VII|i|VI|i|VI|i|VI|i|VI|i|VI|i|VI|i|VI|i|VI|i|VI|VII|i|VI|VII|i|VI|i|VI|i|VI|i|VI|i|VI|i|VI|i|VI|i|VI|i|VI|VII|i|VI|VII|i|VI|i|VI|i|VI|i|VI|i|VI|i|VI|i|VI|i|VI|i
46,I'll Take You There,The Staple Singers,1972-07-01,I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV
50,Love Me Do,The Beatles,1964-07-11,I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|V|IV|I|V|IV|I|IV|I|IV|I|IV|I|IV|I|V|IV|I|V|IV|I|V|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I
54,Last Kiss,J. Frank Wilson & The Cavaliers,1964-09-05,I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V
55,Smoking Gun,The Robert Cray Band,1987-03-07,i|iv|i|iv|i|iv|i|iv|i|iv|i|iv|i|iv|i|iv|i|iv|i|iv|i
66,Do You Love Me,The Contours,1988-06-18,I|IV|V|vi|V|I|IV|V|I|IV|V|I|IV|V|IV|iv|V|I|IV|V|I|IV|V|I|IV|V|I|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|IV|iv|V|I|IV|V|I|IV|V|I|IV|V|I|V|I|IV|V|I|IV|V|I|IV|V|I|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|V|I|IV|V|I|IV|V|I|IV|V|I|V
72,Get Together,The Youngbloods,1969-09-06,I|bVII|I|bVII|I|bVII|I|bVII|I|bVII|IV|V|I|IV|V|I|bVII|I|bVII|I|bVII|IV|V|I|IV|V|I|IV|V|I|IV|V|I|bVII|I|bVII|I|bVII|IV|V|I|IV|V|I|bVII|I|bVII|I|bVII|I|bVII|I|bVII|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I
81,You Can Call Me Al,Paul Simon,1986-08-23,I|V|IV|V|I|V|IV|V|I|V|IV|V|I|V|IV|V|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|V|IV|V|I|V|IV|V|I|V|IV|V|I|V|IV|V|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|V|IV|V|I|V|IV|V|I|V|IV|V|I|V|IV|V|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|V|IV|V|I|V|IV|V|I|V|IV|V|I|V|IV|V|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|V|IV|V|I|V|IV|V|I|V|IV|V|I|V|IV|V|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|V|IV|V|I|V|IV|V|I|V|IV|V|I|V|IV|V|I|V|IV|V|I|V|IV|V|I|V|IV|V|I|V|IV|V|I|V|IV|V|I|V|IV|V|I|V|IV|V|I|V|IV|V|I|V|IV|V|I|V
83,Red Red Wine,UB40,1984-04-07,I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|V|IV|V|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|V|IV|V|I|IV|V|IV|V|I|IV|I|V|I|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|V|IV|V|I|IV|V|I|IV|V|I|IV|I|V|I|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|V|IV|V|I|IV|V|IV|I|IV|V|IV|V|IV|V|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|V|IV|V|I|IV|V|IV|V|I|IV|I|V|I|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|V|IV|V|I|IV|V|I|IV|V|I|IV|I|V|I|IV|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|V|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V
97,Motownphilly,Boyz II Men,1991-08-10,i|VI|V|i|VI|V|i|VI|V|i|VI|V|i|iv|V|VI|VII|V|i|VI|V|i|VI|V|i|VI|V|i|VI|V|i|iv|V|VI|VII|V|i|VI|V|i|VI|V|i|VI|V|i|VI|V|i|VI|V|i|VI|V|i|V|i
106,If,Bread,1971-06-05,I|V|IV|iv|I|iv|V|I|V|IV|iv|I|iv|V|I|V|IV|iv|I|iv|V|vi|IV|VI|ii|V|I|V|IV|iv|I|iv|V|I|V|IV|iv|I|iv|V|vi|IV|VI|ii|V|I|IV|iv|I
107,Sweet Home Alabama,Lynyrd Skynyrd,1974-10-26,V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|bVII|IV|V|IV|I|V|IV|I|V|IV|I|bVII|IV|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|bVII|IV|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I
114,Sunshine Of Your Love,Cream,1968-03-30,I|IV|I|V|bVII|IV|V|bVII|IV|V|bVII|IV|V|I|IV|I|V|bVII|IV|V|bVII|IV|V|bVII|IV|V|I|IV|I|V|bVII|IV|V|bVII|IV|V|bVII|IV|V|I|IV|I|V|bVII|IV|V|bVII|IV|V|bVII|IV|V|bVII|IV|V|bVII|IV|V
115,Sweet Little Rock And Roll,Chuck Berry,1958-12-29,I|V|I|V|IV|I|IV|I|V|IV|I|IV|I|V|IV|I|IV|I|V|IV|I|IV|I|IV|I|V|IV|I|IV|I|V|IV|I|IV|I|V|IV|I
119,Stand By Me,"David Ruffin,Jimmy Ruffin",1970-11-28,I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I
123,Silent Night,Bing Crosby,1960-12-19,I|V|I|V|I|IV|I|IV|I|V|I|V|I|V|I|IV|I|IV|I|V|I|V|I
126,Blue Eyes Crying In The Rain,Willie Nelson,1975-11-01,I|V|I|V|I|IV|I|V|I|V|I|V|I|V|I|IV|I|V|I|V|I|IV|I
128,Brandy (You're A Fine Girl),Looking Glass,1972-09-30,vi|IV|vi|IV|I|V|IV|I|ii|I|IV|vi|ii|IV|bVII|IV|I|IV|vi|ii|IV|I|IV|vi|ii|IV|bVII|IV|I|IV|vi|ii|IV|I|vi|IV|vi|IV|I|V|IV|I|ii|I|IV|vi|ii|IV|bVII|IV|I|IV|vi|ii|IV|I|IV|vi|ii|IV|bVII|IV|I|IV|vi|ii|IV|I|vi|IV|vi|IV|I|V|IV|I|ii|vi|IV|vi|IV|vi|bVII|vi|IV|I|V|IV|I|ii|I|IV|vi|ii|IV|bVII|IV|I|IV|vi|ii|IV|I|vi|IV|vi|IV|I|V|IV|I|ii|vi|IV|vi|IV|I|V|IV|I|ii|vi
130,Tumbling Dice,The Rolling Stones,1972-06-24,IV|I|V|I|V|I|IV|V|I|V|I|V|I|IV|V|I|V|I|V|I|IV|I|V|I|V|I|IV|V|I|V|I|V|I|IV|I|IV|I|V|I|V|I|IV|V|I|V|I|V|I|IV|I|IV|I|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V
139,The Way You Do The Things You Do,UB40,1990-09-29,I|IV|I|IV|I|IV|I|IV|I|V|IV|V|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|V|IV|V|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|V|IV|V|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|V|IV|V|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I
140,La Grange,ZZ Top,1974-06-29,i
145,Runaround Sue,Dion,1961-12-18,I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|IV|I|IV|V|I|vi|IV|V|I|vi|IV|V|IV|I|IV|V|I|vi|IV|V|I|vi|IV|V
149,Just When I Needed You Most,Randy Vanwarmer,1979-07-21,I|IV|I|ii|I|V|I|IV|I|V|I|V|I|IV|I|V|I|IV|I|ii|V|I|IV|I|V|I|V|I|IV|I|V|I|IV|I|ii|V|I|IV|I|V|I|IV|I|ii|V|I|IV|I|V|I|V|I|IV|I|V|I|V|I|IV|I|V|I
153,Walk Right Back,The Everly Brothers,1961-05-01,I|V|I|IV|I|ii|IV|I|V|I|V|I|IV|I|ii|IV|I|V|I|V|I
155,Forever Man,Eric Clapton,1985-04-20,VI|VII|i|VI|VII|i|VI|VII|i|iv|VI|VII|i|VI|VII|VI|VII|i|VI|VII|i|VI|VII|i|iv|VI|VII|i|VI|VII|VI|VII|i|VI|VII|i|VI|VII|i|iv|VI|VII|i|VI|VII|VI|VII|i|VI|VII|i|VI|VII|i|iv|VI|VII|i|VI|VII|i|VI|VII|i|VI|VII|i|iv|VI|VII|i|VI|VII|i|VI|VII|i|VI|VII|i|iv|VI|VII|i
157,Sleep Walk,Santo & Johnny,1959-08-24,I|vi|iv|V|I|vi|IV|V|I|vi|iv|V|I|vi|iv|V|I|vi|iv|V|I|vi|IV|V|I|vi|iv|V|I|vi|iv|V|I|vi|iv|V|I|IV|I|IV|iv|I|IV|iv|V|I|vi|iv|V|I|vi|iv|V|I|vi|iv|V|I|V|I
160,If You Need Me,Solomon Burke,1963-04-20,I|V|vi|I|V|I|V|I|IV|I|V|vi|I|V|I|V|I|IV|I|V|vi|I|V|I|V|I|IV|I|V|vi|I|V|I|V|I|IV|I|V|vi|I
162,Sweet Nothin's,Brenda Lee,1960-01-04,I|IV|I|IV|I|IV|I|V|IV|I|IV|I|IV|I|IV|I|V|IV|I|IV|I|IV|I|IV|I|V|IV|I|IV|I|IV|I|IV|I|V|IV|I|V|IV|I
167,No Charge,Melba Montgomery,1974-06-08,I|V|I|IV|V|I|IV|I|V|I|V|I|IV|V|I|IV|I|V|I|IV|V|I|IV|I|V|I|V|I|V|I
194,Willie And The Hand Jive,Eric Clapton,1974-12-21,I|IV|I|IV|I|IV|I|V|I|IV|I|IV|I|V|I|IV|I|IV|I|V|I
204,I Want To Take You Higher,Ike & Tina Turner,1970-08-29,I
209,Already Gone,Eagles,1974-05-04,I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV
210,She's A Lady,Tom Jones,1971-02-20,ii|I|ii|I|ii|I|ii|vi|ii|I|ii|I|ii|I|ii|vi|I|V|IV|I|V|IV|I|V|IV|I|V|IV|VI|VII|ii|I|ii|vi|ii|I|ii|vi|ii|I|ii|I|ii|vi
214,(Night Time Is) The Right Time,Ray Charles,1959-02-09,V|IV|I|IV|I|V|I|IV|I|V|IV|I|IV|I|V|IV|I|IV|I|V|IV|I|IV|I|V|IV|I|IV|I|V|IV|I
222,For Ol' Times Sake,Elvis Presley,1973-11-10,I|IV|I|IV|I|ii|V|I|IV|I|IV|I|ii|V|I|IV|V|I|IV|V|I|IV|V|I|V|vi|IV|V|I|IV|I|IV|I|IV|I|V|ii|V|I|IV|I|V|ii|V|I
228,Still Cruisin,The Beach Boys,1989-09-02,I|vi|I|vi|I|vi|I|vi|ii|V|ii|V|I|ii|V|ii|V|I|ii|V|ii|V|IV|I|vi|I|vi|IV|I|vi|I|vi|I|vi|I|vi|ii|V|ii|V|I|ii|V|ii|V|I|ii|V|ii|V|IV|I|vi|I|vi|IV|I|vi|I|vi|I|vi|I|vi|ii|V|ii|V|I|vi|I|vi|I|vi|I|vi|ii|V|ii|V|I|vi|I|vi|I|vi|I|vi|ii|V|ii|V
234,Life Is A Carnival,The Band,1971-11-20,I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|ii|I|IV|V|I|IV|I|IV|I|IV|I|IV|I|bVII|I|bVII|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|ii|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|ii|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I|IV|I
235,Back Home Again,John Denver,1974-12-28,I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|ii|V|I|IV|V|I|IV|ii|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|V|IV|I
245,It Amazes Me,John Denver,1978-03-18,I|V|I|V|I|V|I|V|I|V|I|V|I|V|I|V|I|V|vi|V|ii|I|IV|I|IV|I|V|I|V|I|V|I|V|I|V|I|V|I|V|ii|I|IV|I|IV|I|V|I|IV|I|IV|V|I|V|I|V|I|V|vi|V|ii|I|IV|I|IV|I|V|I|IV|I|IV|I|V|I|V|I|V|I|V|I|V|I|V|I
249,Old Time Rock & Roll,Bob Seger,1979-05-19,I|V|I|V|I|IV|V|I|IV|V|I|V|I|IV|V|I|V|I|IV|V|I|V|I|IV|V|I|IV|V|I|V|I|IV|V|I|V|I|IV|V|I|V|I|IV|V|I|V|I|IV|V|I|V|I|IV|V|I|V
250,Handy Man,Jimmy Jones,1960-02-08,I|vi|I|vi|I|vi|IV|V|I|V|I|vi|IV|V|I|IV|I|IV|V|I|vi|IV|V|I|V|I|vi|IV|V|I|IV|I|IV|V|I|vi|IV|V|I|V|I|vi|I|vi|I|vi|I|vi|I|vi|I
256,Smokin' In The Boy's Room,Brownsville Station,1973-11-03,IV|I|V|IV|V|IV|I|V|IV|V|IV|I|IV|V|IV|I|IV|ii|V|IV|I|V|IV|V|IV|I|IV|I|V|IV|V|IV|I
263,Last Kiss,Wednesday,1974-03-02,I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V|I|vi|IV|V
268,Time For Me To Fly,REO Speedwagon,1980-05-31,I|IV|V|IV|I|IV|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|IV|I|IV|I|V|I|IV|V|IV|I|IV|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|IV|I|IV|I|V|I|IV|I|V|IV|I|V|IV|I|IV|V|IV|V|I|IV|V|I|IV|I|V|IV|I|V|IV|I|IV|V|IV|V|IV|V|I|IV|V|IV|I|IV|V|IV|I|IV|V|IV|I
270,In My Room,The Beach Boys,1963-11-23,I|vi|ii|V|I|bVII|I|vi|ii|bVII|V|I|bVII|I|bVII|I|vi|ii|bVII|V|I|bVII|I|vi|V|vi|V|vi|V|I|vi|V|ii|V|I|bVII|I|vi|ii|bVII|V|I|bVII|I|bVII|I|bVII|I|bVII|I|bVII|I|bVII
271,Addicted To Love,Robert Palmer,1986-03-08,I|bVII|IV|I|bVII|IV|I|bVII|IV|I|bVII|IV|I|vi|IV|I|vi|IV|I|bVII|IV|I|bVII|IV|I|vi|IV|I|vi|IV|I|bVII|IV|I|bVII|IV|I|bVII|IV|I|vi|IV|I|vi|IV|I|bVII|IV|I|bVII|IV|I
278,Waiting On A Friend,The Rolling Stones,1982-01-09,I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|vi|IV|V|I|V|I|V|I|vi|IV|V|I|V|I|V|I|vi|IV|V|I|V|I|V|I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|vi|IV|V|I|V|I|V|I|vi|IV|V|I|V|I|V|I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|I|ii|IV|I
280,It Takes Two,"Marvin Gaye,Kim Weston",1967-01-07,I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I
282,Gotta Serve Somebody,Bob Dylan,1979-10-06,i|IV|i|V|IV|i|IV|i|V|IV|i|IV|i|V|IV|i|IV|i|V|IV|i|IV|i|V|IV|i|IV|i|V|IV|i|IV|i|V|IV|i
290,Long Dark Road,The Hollies,1972-11-18,I|IV|I|IV|I|V|bVII|I|V|bVII|IV|I|IV|I|IV|I|V|bVII|I|V|bVII|IV|I|bVII|IV|I|IV|V|I|IV|V|I|IV|V|I|IV|I|IV|I|V|bVII|I|V|bVII|IV|I|bVII|IV|I|IV|V|I|IV|V|I|IV|V|I|IV|I|IV|I|V|bVII|I|V|bVII|IV|I|bVII|IV|I|IV|V|I|IV|V|I|IV|V|I|IV|I|IV|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I|IV|V|I
300,Here I Go Again,Whitesnake,1987-09-26,I|V|IV|I|V|IV|I|V|IV|I|V|IV|I|V|IV|ii|V|ii|V|vi|ii|IV|I|vi|ii|IV|V|I|V|IV|I|V|IV|I|V|IV|ii|V|ii|V|IV|V|I|IV|V|IV|V|I|IV|V|IV|V|I|IV|V|IV|ii|V|ii|V|IV|V|I|V|IV|V|I|V|IV|V|I|V|IV|ii|V|ii|V|IV|V|I|IV|V|IV|V|I|IV|V|IV|V|I|IV|V|IV|ii|V|ii|V|IV|V|vi|ii|vi|ii|vi|ii|vi|ii|IV|V|I|V|IV|V|I|V|IV|V|I|V|IV|ii|V|ii|V|IV|V|I|IV|V|IV|V|I|IV|V|IV|V|I|IV|V|IV|ii|V|ii|V|IV|V|I|IV|V|IV|V|I|IV|V|IV|V|I|IV|V|IV|ii|V|ii|V|IV|V|I|IV|V|IV|V|I|IV|V|IV|V|I|IV|V|IV
304,The Humpty Dance,Digital Underground,1990-04-28,I
307,Cruisin',Smokey Robinson,1980-03-01,I|ii|I|ii|I|ii|I|ii|I|ii|I|ii|I|ii|I|ii|I|IV|bVII|V|I|IV|bVII|V|I|ii|I|ii|I|ii|I|ii|I|ii|I|ii|I|ii|I|ii|I|IV|bVII|V|I|IV|bVII|V|I|ii|I|ii|I|ii|I|ii|I|ii|I|ii|I|ii|I|ii|I|ii|I|ii|I|ii|I|ii|I|IV|bVII|V|I|IV|bVII|V|I|IV|bVII|V|I|IV|bVII|V|I
314,I Got You (I Feel Good),James Brown,1965-11-27,I|IV|I|V|IV|I|IV|I|V|IV|I|IV|I|IV|V|I|IV|I|V|IV|I|IV|I|IV|V|I|IV|I|V|IV|I|IV|I|V|IV|I|V|IV|I|V|IV|I
